Date,DIS,XOM,PFE,MO,INTC
2003-02-10,12.819278717041016,15.852145195007324,11.047410011291504,2.2645444869995117,8.75019645690918
2003-02-11,12.834856033325195,15.738947868347168,10.905437469482422,2.23244047164917,8.79030990600586
2003-02-12,12.694668769836426,15.422945976257324,10.741058349609375,2.224116802215576,8.681429862976074
2003-02-13,12.562271118164062,15.62575912475586,10.673809051513672,2.2276837825775146,8.899184226989746
2003-02-14,13.029559135437012,15.771967887878418,10.67006778717041,2.267516613006592,9.254462242126465
2003-02-18,13.473481178283691,15.91818904876709,10.983901023864746,2.258004665374756,9.58682632446289
2003-02-19,13.123015403747559,15.932330131530762,10.868081092834473,2.228872299194336,9.615473747253418
2003-02-20,13.123015403747559,15.861583709716797,10.699957847595215,2.200929880142212,9.718618392944336
2003-02-21,13.255412101745605,16.120996475219727,10.812042236328125,2.2371959686279297,9.621210098266602
2003-02-24,12.9360990524292,16.036094665527344,10.71490478515625,2.214604616165161,9.477947235107422
2003-02-25,13.0529203414917,16.10212516784668,10.718642234802246,2.262166738510132,9.58682632446289
2003-02-26,12.982831954956055,15.960631370544434,10.797098159790039,2.263355255126953,9.306039810180664
2003-02-27,12.850430488586426,16.02666664123535,10.983901023864746,2.300808906555176,9.56963062286377
2003-02-28,13.286564826965332,16.04552459716797,11.140809059143066,2.297837257385254,9.884801864624023
2003-03-03,13.084077835083008,16.2530517578125,10.972691535949707,2.3174564838409424,9.546711921691895
2003-03-04,12.49996566772461,16.144577026367188,10.699957847595215,2.3115127086639404,9.523792266845703
2003-03-05,12.41429615020752,16.470006942749023,10.905437469482422,2.31805157661438,9.730079650878906
2003-03-06,12.1962251663208,16.300216674804688,10.980158805847168,2.216388463973999,9.546711921691895
2003-03-07,12.242955207824707,16.408695220947266,11.20058822631836,2.1295881271362305,9.174240112304688
2003-03-10,11.822396278381348,16.201175689697266,10.946538925170898,2.113535165786743,9.111211776733398
2003-03-11,11.697786331176758,16.304927825927734,10.834453582763672,2.146233081817627,9.082552909851074
2003-03-12,11.822396278381348,16.06439781188965,10.894231796264648,2.1619713306427,9.265928268432617
2003-03-13,12.61678695678711,16.267202377319336,10.939067840576172,2.1619713306427,9.94210147857666
2003-03-14,12.788124084472656,16.220035552978516,10.815781593322754,2.1141555309295654,9.83896255493164
2003-03-17,13.247627258300781,16.53131866455078,11.095974922180176,2.101444959640503,10.348958015441895
2003-03-18,12.912734985351562,16.62565040588379,11.215529441833496,1.9731305837631226,10.457830429077148
2003-03-19,13.216475486755371,16.786014556884766,11.503204345703125,2.0463666915893555,10.303112030029297
2003-03-20,13.348872184753418,16.786014556884766,11.506935119628906,2.0754194259643555,10.469300270080566
